"","dia","tipo","numero","well","replica","factor1","factor2","factor3"
"1","D1","CLP","1","1","1","CLP_D1","CLP_D1_1","CLP_D1_1_1"
"2","D1","CLP","2","1","1","CLP_D1","CLP_D1_2","CLP_D1_2_1"
"3","D1","CLP","3","1","1","CLP_D1","CLP_D1_3","CLP_D1_3_1"
"4","D1","CLP","4","1","1","CLP_D1","CLP_D1_4","CLP_D1_4_1"
"5","D2","CLP","12","1","1","CLP_D2","CLP_D2_12","CLP_D2_12_1"
"6","D2","CLP","13","1","1","CLP_D2","CLP_D2_13","CLP_D2_13_1"
"7","D2","CLP","1","1","1","CLP_D2","CLP_D2_1","CLP_D2_1_1"
"8","D2","CLP","2","1","1","CLP_D2","CLP_D2_2","CLP_D2_2_1"
"9","D2","CLP","3","1","1","CLP_D2","CLP_D2_3","CLP_D2_3_1"
"10","D2","CLP","4","1","1","CLP_D2","CLP_D2_4","CLP_D2_4_1"
"11","D2","CLP","5","1","1","CLP_D2","CLP_D2_5","CLP_D2_5_1"
"12","D2","CLP","6","1","1","CLP_D2","CLP_D2_6","CLP_D2_6_1"
"13","D4","CLP","14","1","1","CLP_D4","CLP_D4_14","CLP_D4_14_1"
"14","D4","CLP","15","1","1","CLP_D4","CLP_D4_15","CLP_D4_15_1"
"15","D4","CLP","16","1","1","CLP_D4","CLP_D4_16","CLP_D4_16_1"
"16","D4","CLP","17","1","1","CLP_D4","CLP_D4_17","CLP_D4_17_1"
"17","D4","CLP","18","1","1","CLP_D4","CLP_D4_18","CLP_D4_18_1"
"18","D4","CLP","19","1","1","CLP_D4","CLP_D4_19","CLP_D4_19_1"
"19","D4","CLP","20","1","1","CLP_D4","CLP_D4_20","CLP_D4_20_1"
"20","D4","CLP","21","1","1","CLP_D4","CLP_D4_21","CLP_D4_21_1"
"21","D4","CLP","22","1","1","CLP_D4","CLP_D4_22","CLP_D4_22_1"
"22","D4","CLP","23","1","1","CLP_D4","CLP_D4_23","CLP_D4_23_1"
"23","D4","CLP","12","1","1","CLP_D4","CLP_D4_12","CLP_D4_12_1"
"24","D4","CLP","13","1","1","CLP_D4","CLP_D4_13","CLP_D4_13_1"
"25","D4","CLP","10","1","1","CLP_D4","CLP_D4_10","CLP_D4_10_1"
"26","D4","CLP","11","1","1","CLP_D4","CLP_D4_11","CLP_D4_11_1"
"27","D4","CLP","7","1","1","CLP_D4","CLP_D4_7","CLP_D4_7_1"
"28","D4","CLP","8","1","1","CLP_D4","CLP_D4_8","CLP_D4_8_1"
"29","D4","CLP","9","1","1","CLP_D4","CLP_D4_9","CLP_D4_9_1"
"30","D7","CLP","3","1","1","CLP_D7","CLP_D7_3","CLP_D7_3_1"
"31","D7","CLP","4","1","1","CLP_D7","CLP_D7_4","CLP_D7_4_1"
"32","D1","SH","1","1","1","SH_D1","SH_D1_1","SH_D1_1_1"
"33","D2","SH","5","1","1","SH_D2","SH_D2_5","SH_D2_5_1"
"34","D2","SH","1","1","1","SH_D2","SH_D2_1","SH_D2_1_1"
"35","D2","SH","2","1","1","SH_D2","SH_D2_2","SH_D2_2_1"
"36","D2","SH","3","1","1","SH_D2","SH_D2_3","SH_D2_3_1"
"37","D2","SH","4","1","1","SH_D2","SH_D2_4","SH_D2_4_1"
"38","D4","SH","11","1","1","SH_D4","SH_D4_11","SH_D4_11_1"
"39","D4","SH","12","1","1","SH_D4","SH_D4_12","SH_D4_12_1"
"40","D4","SH","13","1","1","SH_D4","SH_D4_13","SH_D4_13_1"
"41","D4","SH","14","1","1","SH_D4","SH_D4_14","SH_D4_14_1"
"42","D4","SH","15","1","1","SH_D4","SH_D4_15","SH_D4_15_1"
"43","D4","SH","16","1","1","SH_D4","SH_D4_16","SH_D4_16_1"
"44","D4","SH","17","1","1","SH_D4","SH_D4_17","SH_D4_17_1"
"45","D4","SH","10","1","1","SH_D4","SH_D4_10","SH_D4_10_1"
"46","D4","SH","5","1","1","SH_D4","SH_D4_5","SH_D4_5_1"
"47","D4","SH","6","1","1","SH_D4","SH_D4_6","SH_D4_6_1"
"48","D4","SH","7","1","1","SH_D4","SH_D4_7","SH_D4_7_1"
"49","D4","SH","8","1","1","SH_D4","SH_D4_8","SH_D4_8_1"
"50","D4","SH","9","1","1","SH_D4","SH_D4_9","SH_D4_9_1"
"51","D7","SH","1","1","3","SH_D7","SH_D7_1","SH_D7_1_1"
